code;name;country
16057919;Salzburger Liga;Austria
16057920;1.Landesliga Salzburg;Austria
16068289;Gebietsliga S/SE;Austria
16068290;Gebietsliga West;Austria
16068291;Gebietsliga NW/WV;Austria
16068292;Gebietsliga N/NW;Austria
16068293;1. Klasse North (NÖ);Austria
16068294;1. Klasse Northwest (NÖ);Austria
16068295;1. Klasse NW/C (NÖ);Austria
16068296;1. Klasse East (NÖ);Austria
16068297;1. Klasse South (NÖ);Austria
16068298;1. Klasse West (NÖ);Austria
16068299;1. Klasse West/Cent. (NÖ);Austria
16068300;1.Klasse Waldviertel (NÖ);Austria
16068301;2. Klasse Alpenvorland;Austria
16068302;2. Klasse Donau (NÖ);Austria
16068305;2. Klasse East;Austria
16068306;2. Klasse East - Central;Austria
16068309;2. Klasse Steinfeld;Austria
16068310;2. Klasse Traisental;Austria
16068311;2. Klasse Triestingtal;Austria
16068312;2. Klasse Wachau (NÖ);Austria
16068313;2. Klasse Wechsel (NÖ);Austria
16068314;2. Klasse Waldviertel S;Austria
16068315;2. Klasse Waldviertel TT;Austria
16068318;2. Klasse Ybbstal (NÖ);Austria
16068319;2. Klasse Yspertal (NÖ);Austria
16068322;Bezirksliga North (OÖ);Austria
16068323;Bezirksliga South (OÖ);Austria
16068324;Bezirksliga West (OÖ);Austria
16068325;Bezirksliga East (OÖ);Austria
16068326;1. Liga Central (OÖ);Austria
16068327;1. Liga Central/West (OÖ);Austria
16068328;1. Liga North (OÖ);Austria
16068329;1. Liga Northeast (OÖ);Austria
16068330;1. Liga Northwest (OÖ);Austria
16068331;1. Liga East (OÖ);Austria
16068332;1. Liga South (OÖ);Austria
16068333;1. Liga Southwest (OÖ);Austria
16068334;2. Liga Central (OÖ);Austria
16068335;2. Liga Central/East (OÖ);Austria
16068336;2. Liga Central/West (OÖ);Austria
16068337;2.Liga Central North;Austria
16068338;2. Liga Northwest (OÖ);Austria
16068339;2. Liga East (OÖ);Austria
16068340;2. Liga South (OÖ);Austria
16068342;2. Liga Southwest (OÖ);Austria
16068343;2. Liga West (OÖ);Austria
16068346;2. Klasse North A (S);Austria
16068347;2. Klasse North B (S);Austria
16068348;2. Klasse South (S);Austria
16068349;2. Klasse Southwest (S);Austria
16068350;Gebietsliga East (T);Austria
16068351;Gebietsliga West (T);Austria
16068352;Bezirksliga East (T);Austria
16068353;Bezirksliga West (T);Austria
16068354;1. Klasse East (T);Austria
16068355;1. Klasse West (T);Austria
16068356;2. Klasse East (T);Austria
16068357;2. Klasse West (T);Austria
16068358;1. Landesklasse (Vbg);Austria
16068359;2. Landesklasse (Vbg);Austria
16068360;3. Landesklasse (Vbg);Austria
16068361;4. Landesklasse (Vbg);Austria
16068362;5. Landesklasse Unterland;Austria
16068363;1. Klasse A (K);Austria
16068364;1. Klasse B (K);Austria
16068365;1. Klasse C (K);Austria
16068366;1. Klasse D (K);Austria
16068367;2. Klasse A (Ktn);Austria
16068368;2. Klasse b (Ktn);Austria
16068369;2. Klasse C (Ktn);Austria
16068370;2. Klasse D (Ktn);Austria
16068371;Unterliga Central (St);Austria
