code;value
;Al-Azzawe
;Albadawi
;Albadoro
;Albanese
;Albano
;Albarracín
;Albarrán
;Albayrak
;Albentosa
;Alberg
;Alberghina
;Alberico
;Alberione
;Albers
;Albert
;Albertazzi
;Albertengo
;Alberti
;Albertillo
;Albertinazzi
;Albertini
;Albertoni
;Albiach
;Albiar
;Albiol
;Albistegi
;Albisu
;Albisua
;Albitre
;Albizua
;Alblas
;Alborghetti
;Albornoz
;Albrecht
;Albrighton
;Albur
;Albutat
;Alcácer
;Alcaín
;Alcalá
;Alcalde
;Alcañiz
;Alcántar
;Alcántara
;Alcaraz
;Alcayaga
;Alceus
;Alcibiade
;Alcoba
;Alcock
;Alcolea
;Alcover
;Aldair
;Aldalla
;Aldalur
;Alday
;Aldemir
;Alderete
;Alderton
;Alderweireld
;Aldo
;Aldonate
;Aldrete
;Aldridge
;Ale
;Alê
;Ale Corvalán
;Pipo
;Alecha
;Alecsandro
;Aleesami
;Alef
;Alegre
;Alegría
;Alégué
;Aleilson
;Aleinik
;Aleinikov
;Alejandro
;Alejo
;Aleksic
;Alemán
;Alemandi
;Aleñá
;Alende
;Aléo
;Alerrandro
;Alesandroni
;Alessandra
;Alessandri
;Alessandrini
;Alessio
;Alesson
;Álex
;Alcântara
;Amado
;Apolinário
;Azeredo
;Cazumba
;Díez
;Fraga
;Millán
;Muralha
;Murici
;Nemetz
;Portillo
;Porto
;Quillo
;Reinaldo
;Ruan
;Sandro
;Sassá
;Telles
;Travassos
;Willian
;Alexander
;Alexander-Arnold
;Alexandre
;Acerola
;Bindé
;Cajuru
;Caxambu
;D'Acol
;Hans
;Matão
;Talento
;Tam
;Alexandro
;Alexis
;Alexon
;Alexsander
;Alexsandro
;Alfa
;Alfageme
;Alfaiate
;Alfani
;Alfarela
;Alfaro
;Alfenoni
;Alferez
;Alfieri
;Alfonsín
;Alfonso
;Alfredo
;Algañaraz
;Alghoul
;Algisi
;Algozino
;Al-Habsi
;Alhadhur
;Alhaft
;Alhas
;Al-Hazaimeh
;Al-Hussien
;Adnan
;Ali
;Alia
;Aliaga
;Alibaz
;Alibekov
;Alici
;Aliendro
;Aliev
;Alihodzic
;Alija
;Alikin
;Alimi
;Alin
;Alioglu
;Alioski
;Alioui
;Alípio
;Alison
;Araçoiaba
;Alisson
;Brand
;Cassiano
;Xabala
;Aliyu
;Alkain
;Alkan
;Alkasi
;Alkhazov
;Alkiliç
;Alkurt
;Allach
;Allagbé
;Allagui
;Allaigre
;Allain
;Allala
;Allan
;Vencato
;Allano
;Allart
;Allasan
;Allassani
;Alledji
;Allée
;Allef
;Allegria
;Allen
;Allende
;Allexson
;Allgaier
